3003132 061835310 1 12 ///// 00108 N00108 E00053 Z00033 P///P///P///P///P///P///                
3003230 061835380 1 08 ///// 00045 N00029 E00043 Z00022 P///P///P///P///P///P///                
3003231 061835380 1 12 ///// 00058 N00055 E00035 Z00043 P///P///P///P///P///P///                
3003330 061835310 1 12 ///// 00122 N00074 E00101 Z00044 P///P///P///P///P///P///                
3003331 061835310 1 14 ///// 00098 N00071 E00089 Z00069 P///P///P///P///P///P///                
3003430 061835380 1 11 ///// 00130 N00111 E00097 Z00065 P///P///P///P///P///P///                
3003432 061835410 1 12 ///// 00071 N00063 E00049 Z00043 P///P///P///P///P///P///                
3010000 061835336 1 14 35447 00088 N00066 E00070 Z00055 F122F122F061F061F107F107                
3010030 061835460 1 13 ///// 00088 N00078 E00073 Z00050 P///P///P///P///P///P///                
3010031 061835440 1 08 ///// 00045 N00034 E00038 Z00027 P///P///P///P///P///P///                
3010132 061835520 1 06 ///// 00032 N00029 E00028 Z00010 P///P///P///P///P///P///                
3010200 061835329 1 13 35431 00096 N00087 E00077 Z00049 F134F134F059F059F116F116                
3011130 061835460 1 13 ///// 00077 N00070 E00048 Z00042 P///P///P///P///P///P///                
3011131 061835460 1 10 ///// 00061 N00043 E00059 Z00038 P///P///P///P///P///P///                
3011200 061835407 1 13 35415 00048 N00042 E00046 Z00022 F053F053F049F049F099F085                
3012030 061835430 1 06 ///// 00031 N00027 E00025 Z00019 P///P///P///P///P///P///                
3012430 061835410 1 13 ///// 00086 N00065 E00080 Z00048 P///P///P///P///P///P///                
3012530 061835440 1 06 ///// 00042 N00036 E00030 Z00030 P///P///P///P///P///P///                
3014330 061835490 1 09 ///// 00044 N00042 E00043 Z00030 P///P///P///P///P///P///                
3015430 061835500 1 07 ///// 00049 N00042 E00032 Z00016 P///P///P///P///P///P///                
3015431 061835500 1 09 ///// 00057 N00038 E00056 Z00019 P///P///P///P///P///P///                
3015530 061835410 1 07 ///// 00043 N00031 E00024 Z00042 P///P///P///P///P///P///                
3015532 061835450 1 05 ///// 00037 N00032 E00031 Z00012 P///P///P///P///P///P///                
3015600 061835470 1 05 35535 00022 N00017 E00021 Z00018 F079F079F122F042F078F100                
