code,address,lat,lon,from,to,latitude,longitude,date_b,date_e,beginning,end,date_b_sub,date_e_sub,duration,ge1_raw,rge1_ras,ge1_raw_py,rge1_ras_py,ge2_raw,rge2_ras,ge2_raw_py,rge2_ras_py,ge3_raw,rge3_ras,ge3_raw_py,rge3_ras_py,ge4_raw,rge4_ras,ge4_raw_py,rge4_ras_py,ge5_raw,rge5_ras,ge5_raw_py,rge5_ras_py,ge6_raw,rge6_ras,ge6_raw_py,rge6_ras_py,ge7_raw,rge7_ras,ge7_raw_py,rge7_ras_py,est7,est6,est5,slope,intercept,rvalue
2320000,大館市比内町味噌内,4011,14038,199407151200,,40.18333333333333,140.63333333333333,1994-07-15,2019-12-31,1919-01-01,2019-12-31,1994-07-15,2019-12-31,25.46253516499312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2320020,大館市桜町＊,4016,14034,200606201200,,40.266666666666666,140.56666666666666,2006-06-20,2019-12-31,1919-01-01,2019-12-31,2006-06-20,2019-12-31,13.530736428537205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2320030,大館市中城＊,4016,14034,199711101200,201711161200.0,40.266666666666666,140.56666666666666,1997-11-10,2017-11-16,1919-01-01,2019-12-31,1997-11-10,2017-11-16,20.016838128092978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2320031,大館市比内町扇田＊,4013,14035,199711101200,,40.21666666666667,140.58333333333334,1997-11-10,2019-12-31,1919-01-01,2019-12-31,1997-11-10,2019-12-31,22.138716058509072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2320032,大館市早口（旧）＊,4016,14027,199711101200,201711111200.0,40.266666666666666,140.45,1997-11-10,2017-11-11,1919-01-01,2019-12-31,1997-11-10,2017-11-11,20.003148593058036,291.0,157.0,14.547709759102109,14.547709759102109,79.0,49.0,3.949378250752806,3.949378250752806,15.0,8.0,0.7498819463454696,0.7498819463454696,3.0,2.0,0.1499763892690939,0.1499763892690939,1.0,1.0,0.049992129756364634,0.049992129756364634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005567240539631353,0.01574653415227992,0.044537924317050795,-0.4515449934959717,8.062225485967314,-0.9819805060619655
2320130,鹿角市花輪（旧）＊,4013,14047,199711101200,201711131200.0,40.21666666666667,140.78333333333333,1997-11-10,2017-11-13,1919-01-01,2019-12-31,1997-11-10,2017-11-13,20.008624407072013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2320220,小坂町小坂砂森＊,4020,14045,200606201200,,40.333333333333336,140.75,2006-06-20,2019-12-31,1919-01-01,2019-12-31,2006-06-20,2019-12-31,13.530736428537205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2320230,小坂町小坂鉱山＊,4020,14045,199711101200,201407221200.0,40.333333333333336,140.75,1997-11-10,2014-07-22,1919-01-01,2019-12-31,1997-11-10,2014-07-22,16.69575692861592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2320930,上小阿仁村小沢田＊,4004,14018,199711101200,,40.06666666666667,140.3,1997-11-10,2019-12-31,1919-01-01,2019-12-31,1997-11-10,2019-12-31,22.138716058509072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2321000,北秋田市花園町,4014,14022,199604011200,,40.233333333333334,140.36666666666667,1996-04-01,2019-12-31,1919-01-01,2019-12-31,1996-04-01,2019-12-31,23.748605378618315,354.0,185.0,14.906138459764815,14.906138459764815,123.0,70.0,5.179251498731842,5.179251498731842,25.0,16.0,1.0526933940511876,1.0526933940511876,4.0,3.0,0.16843094304819,0.16843094304819,1.0,1.0,0.0421077357620475,0.0421077357620475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023910885553359647,0.009564354221343862,0.03825741688537542,-0.6020599913279624,39.175594890624446,-0.9928990198332233
2321020,北秋田市阿仁水無＊,4000,14024,200606201200,,40.0,140.4,2006-06-20,2019-12-31,1919-01-01,2019-12-31,2006-06-20,2019-12-31,13.530736428537205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2321030,北秋田市米内沢（旧）＊,4007,14023,199711101200,201711171200.0,40.11666666666667,140.38333333333333,1997-11-10,2017-11-17,1919-01-01,2019-12-31,1997-11-10,2017-11-17,20.019576035099966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
