,code_prime,lon,lat,address,codes_ordered,gaps,distances,grand_date_b,grand_date_e,date_b_s,date_e_s,lats,lons,date_b_s_old,date_e_s_old,highest,highestplus1,duration,probability_not_occurr
2553,3000320,14042,3643,高萩市安良川,[3000320],[],[],2006-06-20,2023-12-31,['2006-06-20'],['2023-12-31'],[3643],[14042],,,6.0,7.0,5308.0,0.8197463911245393
2554,7630021,13104,3152,都城市高崎町大牟田,[7630021],[],[],2004-08-09,2023-12-31,['2004-08-09'],['2023-12-31'],[3152],[13104],,,5.0,6.0,5988.0,0.8198123113177285
2555,2504700,14034,3726,田村市船引町,"[2504700, 2504701]",[0],[1.48],1996-04-01,2023-12-31,"['1996-04-01', '2015-03-19']","['2015-03-19', '2023-12-31']","[3726, 3726]","[14034, 14035]",,,5.0,6.0,9040.0,0.820003350631786
2556,4433031,13744,3443,浜松中区元城町,[4433031],[],[],1998-06-15,2023-12-31,['1998-06-15'],['2023-12-31'],[3443],[13744],,,4.0,5.0,8235.0,0.8200211621998748
2557,7110920,13042,3350,中間市長津,[7110920],[],[],2007-03-01,2023-12-31,['2007-03-01'],['2023-12-31'],[3350],[13042],,,4.0,5.0,5054.0,0.8200211621998748
2558,7705532,13021,3131,日置市吹上町中原,"[7705532, 7705535]",[0],[0.0],1998-10-15,2023-12-31,"['1998-10-15', '2019-07-20']","['2019-07-20', '2023-12-31']","[3131, 3131]","[13021, 13021]",,,4.0,5.0,8113.0,0.8200211621998748
2559,7705732,13014,3119,南さつま市坊津町久志,"[7705732, 7705736]",[0],[0.0],1998-10-15,2023-12-31,"['1998-10-15', '2011-05-12']","['2011-05-12', '2023-12-31']","[3119, 3119]","[13014, 13014]",,,4.0,5.0,8113.0,0.8200211621998748
2560,3812432,13703,3643,射水市二口,"[3812432, 3812437]",[0],[0.0],2000-07-18,2023-12-31,"['2000-07-18', '2016-03-29']","['2016-03-29', '2023-12-31']","[3643, 3643]","[13703, 13703]","['2000-07-18', '2016-02-17']",,4.0,5.0,7471.0,0.8202626117541678
2561,5311100,13520,3444,西宮市宮前町,[5311100],[],[],1995-01-20,2023-12-31,['1995-01-20'],['2023-12-31'],[3444],[13520],,,5.0,6.0,9477.0,0.8203456455329777
2562,2120320,14127,4002,葛巻町消防分署,[2120320],[],[],2006-06-20,2023-12-31,['2006-06-20'],['2023-12-31'],[4002],[14127],,,5.0,6.0,5308.0,0.8203456455329778
